state,district,nightlight,population,electricity,msme,atm,nightlight_norm,population_norm,electricity_norm,msme_norm,atm_norm,shadow_score,shadow_rank,cluster
haryana,karnal,2.730598028104813,1505324.0,148.42551928783382,216103.0,13000.0,0.0376378589161224,0.1328248232128057,0.33067456777495835,0.10917651697234838,0.08333333333333331,0.12243940713716098,322.0,2
haryana,kurukshetra,2.345184463210946,964655.0,148.42551928783382,216103.0,13000.0,0.032009092495497875,0.0837548732421568,0.33067456777495835,0.10917651697234838,0.08333333333333331,0.10792041307624894,381.0,2
haryana,mahendragarh,1.5875337862729888,922088.0,148.42551928783382,216103.0,13000.0,0.020943994955181164,0.07989158431602897,0.33067456777495835,0.10917651697234838,0.08333333333333331,0.1025285518285903,404.0,2
haryana,sonepat,3.2364974226764724,1703152.5,148.42551928783382,216103.0,13000.0,0.04502625876438252,0.15077931033481293,0.33067456777495835,0.10917651697234838,0.08333333333333331,0.12988338885696685,296.0,2
haryana,kaithal,1.590814284716007,1074304.0,148.42551928783382,216103.0,13000.0,0.020991904943725694,0.09370637951370499,0.33067456777495835,0.10917651697234838,0.08333333333333331,0.1060014146234271,387.0,2
haryana,panipat,5.5328069299476,1205437.0,148.42551928783382,216103.0,13000.0,0.07856267528736587,0.10560772719500557,0.33067456777495835,0.10917651697234838,0.08333333333333331,0.13200505968120835,292.0,2
haryana,rewari,3.375294675675819,900332.0,148.42551928783382,216103.0,13000.0,0.047053321089427544,0.07791705677411064,0.33067456777495835,0.10917651697234838,0.08333333333333331,0.11247865039680927,363.0,2
haryana,yamuna nagar,2.577122203451788,1703152.5,148.42551928783382,216103.0,13000.0,0.035396423619410686,0.15077931033481293,0.33067456777495835,0.10917651697234838,0.08333333333333331,0.1260314547989781,301.0,2
rajasthan,bharatpur,1.2921598196517257,2548462.0,224.4086862692204,623437.0,17000.0,0.01663021044865433,0.2274977737102131,0.5015130878734866,0.3150707781425572,0.24999999999999994,0.1860897619030959,123.0,2
rajasthan,dhaulpur,0.8663140393560549,1206516.0,224.4086862692204,623437.0,17000.0,0.010410952366357735,0.10570565490311964,0.5015130878734866,0.3150707781425572,0.24999999999999994,0.1531540289684039,211.0,2
jharkhand,purba singhbhum,2.2109602027872794,1703152.5,25.781575397895875,169579.0,18000.0,0.03004881636947738,0.15077931033481293,0.05492520504654564,0.08566012843939314,0.2916666666666667,0.04438174774004561,465.0,1
