state,shadow_score
odisha,0.7319244844223107
bihar,0.6100007126073284
rajasthan,0.5808908241256112
tamil nadu,0.5532770030215096
gujarat,0.48461124738007344
punjab,0.4844737750181478
kerala,0.48203719928381106
west bengal,0.46279307828854693
haryana,0.4210115439677618
karnataka,0.3662999612978035
maharashtra,0.3344379254823946
