state,district,population
7,new delhi,142004
7,new delhi,0
7,new delhi,142004
7,central,582320
7,central,0
7,central,582320
7,west,2543243
7,west,6420
7,west,2536823
7,south west,2292958
7,south west,143676
7,south west,2149282
7,south,2731929
7,south,12193
7,south,2719736
8,rajasthan,68548437
8,rajasthan,51500352
8,rajasthan,17048085
8,ganganagar,1969168
8,ganganagar,1433736
8,ganganagar,535432
8,hanumangarh,1774692
8,hanumangarh,1424228
8,hanumangarh,350464
8,bikaner,2363937
8,bikaner,1563553
8,bikaner,800384
8,churu,2039547
8,churu,1463312
8,churu,576235
8,jhunjhunun,2137045
8,jhunjhunun,1647966
8,jhunjhunun,489079
8,alwar,3674179
8,alwar,3019728
8,alwar,654451
8,bharatpur,2548462
8,bharatpur,2053363
8,bharatpur,495099
8,dhaulpur,1206516
8,dhaulpur,959066
8,dhaulpur,247450
8,karauli,1458248
8,karauli,1240143
8,karauli,218105
8,sawai madhopur,1335551
8,sawai madhopur,1069084
8,sawai madhopur,266467
8,dausa,1634409
8,dausa,1432616
8,dausa,201793
8,jaipur,6626178
8,jaipur,3154331
8,jaipur,3471847
8,sikar,2677333
8,sikar,2043427
8,sikar,633906
8,nagaur,3307743
8,nagaur,2670539
8,nagaur,637204
8,jodhpur,3687165
8,jodhpur,2422551
8,jodhpur,1264614
8,jaisalmer,669919
8,jaisalmer,580894
8,jaisalmer,89025
8,barmer,2603751
8,barmer,2421914
8,barmer,181837
8,jalor,1828730
8,jalor,1676975
8,jalor,151755
8,sirohi,1036346
8,sirohi,827692
8,sirohi,208654
8,pali,2037573
8,pali,1577567
8,pali,460006
8,ajmer,2583052
8,ajmer,1547642
8,ajmer,1035410
8,tonk,1421326
8,tonk,1103603
8,tonk,317723
8,bundi,1110906
8,bundi,888205
8,bundi,222701
8,bhilwara,2408523
8,bhilwara,1895869
8,bhilwara,512654
8,rajsamand,1156597
8,rajsamand,972777
8,rajsamand,183820
8,dungarpur,1388552
8,dungarpur,1299809
8,dungarpur,88743
8,banswara,1797485
8,banswara,1669864
8,banswara,127621
8,chittaurgarh,1544338
8,chittaurgarh,1259074
8,chittaurgarh,285264
8,kota,1951014
8,kota,774410
8,kota,1176604
8,baran,1222755
8,baran,968541
8,baran,254214
8,jhalawar,1411129
8,jhalawar,1181838
8,jhalawar,229291
8,udaipur,3068420
8,udaipur,2459994
8,udaipur,608426
8,pratapgarh,867848
8,pratapgarh,796041
8,pratapgarh,71807
9,uttar pradesh,199812341
9,uttar pradesh,155317278
9,uttar pradesh,44495063
9,saharanpur,3466382
9,saharanpur,2399856
9,saharanpur,1066526
9,muzaffarnagar,4143512
9,muzaffarnagar,2952200
9,muzaffarnagar,1191312
9,bijnor,3682713
9,bijnor,2757401
9,bijnor,925312
9,moradabad,4772006
9,moradabad,3198383
9,moradabad,1573623
9,rampur,2335819
9,rampur,1747172
9,rampur,588647
9,jyotiba phule nagar,1840221
9,jyotiba phule nagar,1381508
9,jyotiba phule nagar,458713
9,meerut,3443689
