state,district,population
15,mizoram,1097206
15,mamit,86364
15,kolasib,83955
15,aizawl,400309
15,champhai,125745
15,serchhip,64937
15,lunglei,161428
15,lawngtlai,117894
15,saiha,56574
16,tripura,3673917
16,west tripura,1725739
16,south tripura,876001
16,dhalai,378230
16,north tripura,693947
17,meghalaya,2966889
17,west garo hills,643291
17,east garo hills,317917
17,south garo hills,142334
17,west khasi hills,383461
17,ribhoi,258840
17,east khasi hills,825922
17,jaintia hills,395124
18,assam,31205576
18,kokrajhar,887142
18,dhubri,1949258
18,goalpara,1008183
18,barpeta,1693622
18,morigaon,957423
18,nagaon,2823768
18,sonitpur,1924110
18,lakhimpur,1042137
18,dhemaji,686133
18,tinsukia,1327929
18,dibrugarh,1326335
18,sivasagar,1151050
18,jorhat,1092256
18,golaghat,1066888
18,karbi anglong,956313
18,dima hasao,214102
18,cachar,1736617
18,karimganj,1228686
18,hailakandi,659296
18,bongaigaon,738804
18,chirang,482162
18,kamrup,1517542
18,kamrup metropolitan,1253938
18,nalbari,771639
18,baksa,950075
18,darrang,928500
18,udalguri,831668
19,west bengal,91276115
19,darjiling,1846823
19,jalpaiguri,3872846
19,koch bihar,2819086
19,uttar dinajpur,3007134
19,dakshin dinajpur,1676276
19,maldah,3988845
19,murshidabad,7103807
19,birbhum,3502404
19,barddhaman,7717563
19,nadia,5167600
19,north twenty four parganas,10009781
19,hugli,5519145
19,bankura,3596674
19,puruliya,2930115
19,haora,4850029
19,kolkata,4496694
19,south twenty four parganas,8161961
19,paschim medinipur,5913457
19,purba medinipur,5095875
20,jharkhand,32988134
20,garhwa,1322784
20,chatra,1042886
20,kodarma,716259
20,giridih,2445474
20,deoghar,1492073
20,godda,1313551
20,sahibganj,1150567
20,pakur,900422
20,dhanbad,2684487
20,bokaro,2062330
20,lohardaga,461790
20,purbi singhbhum,2293919
20,palamu,1939869
20,latehar,726978
20,hazaribagh,1734495
20,ramgarh,949443
20,dumka,1321442
20,jamtara,791042
20,ranchi,2914253
20,khunti,531885
20,gumla,1025213
20,simdega,599578
20,pashchimi singhbhum,1502338
20,saraikela-kharsawan,1065056
21,odisha,41974218
21,bargarh,1481255
21,jharsuguda,579505
21,sambalpur,1041099
21,debagarh,312520
21,sundargarh,2093437
21,kendujhar,1801733
21,mayurbhanj,2519738
21,baleshwar,2320529
21,bhadrak,1506337
21,kendrapara,1440361
21,jagatsinghapur,1136971
21,cuttack,2624470
21,jajapur,1827192
21,dhenkanal,1192811
21,anugul,1273821
21,nayagarh,962789
21,khordha,2251673
21,puri,1698730
21,ganjam,3529031
21,gajapati,577817
21,kandhamal,733110
21,baudh,441162
21,subarnapur,610183
21,balangir,1648997
21,nuapada,610382
21,kalahandi,1576869
21,rayagada,967911
21,nabarangapur,1220946
21,koraput,1379647
21,malkangiri,613192
22,chhattisgarh,25545198
22,koriya,658917
22,surguja,2359886
22,jashpur,851669
22,raigarh,1493984
22,korba,1206640
22,janjgir - champa,1619707
22,kabeerdham,822526
22,rajnandgaon,1537133
22,durg,3343872
22,raipur,4063872
22,mahasamund,1032754
22,dhamtari,799781
22,uttar bastar kanker,748941
22,bastar,1413199
22,narayanpur,139820
22,dakshin bastar dantewada,533638
22,bijapur,255230
23,madhya pradesh,72626809
23,sheopur,687861
23,morena,1965970
23,bhind,1703005
23,gwalior,2032036
23,datia,786754
23,shivpuri,1726050
23,tikamgarh,1445166
23,chhatarpur,1762375
23,panna,1016520
23,sagar,2378458
23,damoh,1264219
23,satna,2228935
23,rewa,2365106
23,umaria,644758
23,neemuch,826067
23,mandsaur,1340411
23,ratlam,1455069
23,ujjain,1986864
23,shajapur,1512681
23,dewas,1563715
23,dhar,2185793
23,indore,3276697
23,khargone (west nimar),1873046
23,barwani,1385881
23,rajgarh,1545814
23,vidisha,1458875
23,bhopal,2371061
23,sehore,1311332
23,raisen,1331597
23,betul,1575362
23,harda,570465
23,hoshangabad,1241350
23,katni,1292042
23,jabalpur,2463289
23,narsimhapur,1091854
23,dindori,704524
23,mandla,1054905
23,chhindwara,2090922
23,seoni,1379131
23,balaghat,1701698
23,guna,1241519
23,ashoknagar,845071
23,shahdol,1066063
23,anuppur,749237
23,sidhi,1127033
23,singrauli,1178273
23,jhabua,1025048
23,alirajpur,728999
23,khandwa (east nimar),1310061
23,burhanpur,757847
24,gujarat,60439692
24,kachchh,2092371
24,banas kantha,3120506
24,patan,1343734
24,mahesana,2035064
24,sabar kantha,2428589
24,gandhinagar,1391753
24,ahmadabad,7214225
24,surendranagar,1756268
24,rajkot,3804558
24,jamnagar,2160119
24,porbandar,585449
24,junagadh,2743082
24,amreli,1514190
24,bhavnagar,2880365
24,anand,2092745
24,kheda,2299885
24,panch mahals,2390776
24,dohad,2127086
24,vadodara,4165626
24,narmada,590297
24,bharuch,1551019
24,the dangs,228291
24,navsari,1329672
24,valsad,1705678
24,surat,6081322
24,tapi,807022
25,daman & diu,243247
25,diu,52074
25,daman,191173
26,dadra & nagar haveli,343709
27,maharashtra,112374333
27,nandurbar,1648295
27,dhule,2050862
27,jalgaon,4229917
27,buldana,2586258
27,akola,1813906
27,washim,1197160
27,amravati,2888445
27,wardha,1300774
27,nagpur,4653570
27,bhandara,1200334
27,gondiya,1322507
27,gadchiroli,1072942
27,chandrapur,2204307
27,yavatmal,2772348
27,nanded,3361292
27,hingoli,1177345
27,parbhani,1836086
27,jalna,1959046
27,nashik,6107187
27,thane,11060148
27,mumbai suburban,9356962
27,mumbai,3085411
27,pune,9429408
27,ahmadnagar,4543159
27,bid,2585049
27,latur,2454196
