state,district,nightlight
jharkhand,saraikela kharsawan,1.892446437245238
jharkhand,simdega,0.4113496599796766
west bengal,west midnapore,1.208977273343989
madhya pradesh,east nimar,0.6801784580056817
madhya pradesh,guna,1.037011197950529
madhya pradesh,shahdol,0.6597597219688671
madhya pradesh,anuppur,1.2572378347013076
madhya pradesh,ashoknagar,0.7841466005034095
andaman and nicobar,andaman islands,0.2862116058323029
andaman and nicobar,nicobar islands,0.1534540686960947
assam,barpeta,0.6315280126582911
assam,cachar,0.6621174537044342
assam,darrang,0.6995083411420958
assam,dhuburi,0.8061355956003465
assam,dibrugarh,2.1285439941997595
assam,goalpara,0.944919141587286
assam,golaghat,1.3129035925530776
assam,kamrup,1.6586247476586675
assam,karbi anglong,0.4009841999090435
assam,karimganj,0.6558173007614098
assam,nagaon,0.8525674211162209
assam,nalbari,0.701267439479422
assam,north cachar hills,0.3029065739751828
assam,sibsagar,1.392943009550652
assam,sonitpur,0.7839164465184714
assam,bongaigaon,1.045043696504144
assam,dhemaji,0.3992517962806763
assam,hailakandi,0.5252715843338208
assam,jorhat,0.6976498549069752
assam,kokrajhar,0.7347889029327711
assam,lakhimpur,0.4955754632347307
assam,marigaon,0.6837916761845889
assam,tinsukia,1.9467620704978623
delhi,delhi,33.911236328027535
gujarat,ahmadabad,3.750153964382412
gujarat,amreli,0.835677818107073
gujarat,bhavnagar,1.165581312108653
gujarat,gandhinagar,6.365329486018299
gujarat,jamnagar,1.8633652795638056
gujarat,kachchh,0.9880321404922432
gujarat,rajkot,1.917322774450827
gujarat,sabar kantha,1.0659566920678332
gujarat,surendranagar,1.0029535138024104
gujarat,vadodara,2.5328163812523687
haryana,bhiwani,1.3238911747025517
haryana,gurgaon,7.466567645190687
haryana,jind,1.7122382796396023
haryana,sirsa,1.321567934494374
haryana,faridabad,6.385950778540352
himachal pradesh,bilaspur,1.0099875311326192
himachal pradesh,chamba,0.3505038475165428
himachal pradesh,hamirpur,0.7067546438553026
himachal pradesh,kangra,0.6120396507053937
himachal pradesh,kinnaur,0.293224534007703
himachal pradesh,kullu,0.3455471396571528
